0,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Aluminium and aluminium products,2.642712161,3.267307906,0.648880398,3.347702479,1.034490132,1.196913709,1.976022042,0.655485135,1.995221229,2.080307612,1.856963114,1.92703453,1.40884465,1.173710287,2.835446232,3.072272486,1.454551016,3.712818902,0.848668796,3.315299105,1.885057265,1.150104615,1.823990565,0.90277631,2.065050253,1.809540584,1.618104831,2.877954316,3.72328292,2.629559869,4.996163751,2.639753456
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lead, zinc and tin and products thereof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-ferrous metal products,2.642712161,3.267307906,0.648880398,3.347702479,1.034490132,1.196913709,1.976022042,0.655485135,1.995221229,2.080307612,1.856963114,1.92703453,1.40884465,1.173710287,2.835446232,3.072272486,1.454551016,3.712818902,0.848668796,3.315299105,1.885057265,1.150104615,1.823990565,0.90277631,2.065050253,1.809540584,1.618104831,2.877954316,3.72328292,2.629559869,4.996163751,2.639753456
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundry work services,2.642712161,3.267307906,0.648880398,3.347702479,1.034490132,1.196913709,1.976022042,0.655485135,1.995221229,2.080307612,1.856963114,1.92703453,1.40884465,1.173710287,2.835446232,3.072272486,1.454551016,3.712818902,0.848668796,3.315299105,1.885057265,1.150104615,1.823990565,0.90277631,2.065050253,1.809540584,1.618104831,2.877954316,3.72328292,2.629559869,4.996163751,2.639753456
"Fabricated metal products, except machinery and equipment (28)",124.4362763,72.33894848,7.470895278,40.77432475,27.10588846,61.28009905,40.5491579,21.68706398,40.39708653,46.50070627,32.62509674,16.72518694,10.54086224,12.05896663,37.04033274,44.78946194,14.12188229,111.50525,14.44081888,58.79967458,66.13640493,12.8050721,19.29411828,7.874218976,73.68336619,32.91058012,28.34331101,34.6667743,81.67362677,73.47780444,139.6078284,63.16954243
Machinery and equipment n.e.c. (29),640.4804116,410.3525559,39.91671227,299.0706282,131.286407,288.7306103,296.7024596,99.53677223,311.5782803,365.4504456,276.9310448,129.2558932,70.55240922,81.39823275,242.8561149,298.0458476,74.11995985,714.8521853,90.93985454,305.1411477,371.6790159,79.41175376,172.5387714,42.62198847,394.9451262,194.6769242,135.9812127,309.3366658,521.086454,472.8228685,898.3634501,398.8163725
Office machinery and computers (30),37.40560283,22.21603412,1.71749517,12.58467455,6.926596873,25.05261113,25.74081182,7.9580334,9.212764383,28.33263828,15.30793655,8.224648668,2.944439628,1.958173813,17.30433957,8.8454425,5.991144481,43.98789949,6.30727016,15.45687274,33.07810019,3.660779482,5.428212349,1.481857376,51.45204863,8.498865249,8.897256279,31.03102509,56.22451449,38.18035304,72.54267078,43.48621453
Electrical machinery and apparatus n.e.c. (31),95.58062309,123.6446827,3.368938223,12.11283269,9.326142327,43.82627961,64.38223957,6.745056855,21.3328075,49.66210064,20.61121437,8.799109322,5.354623372,13.94781372,28.9091662,34.99386095,3.612265615,76.94315624,9.8906295,18.1747322,92.16580429,3.624737225,23.35189332,1.640462287,32.36252609,40.17453707,7.303851101,54.02145978,71.10538588,221.4597007,420.7734313,54.9956561
"Radio, television and communication equipment and apparatus (32)",551.8357228,786.1188561,113.4862447,702.6113185,233.2705403,667.0627434,641.6089671,260.8823807,436.0741855,685.463481,484.2731872,438.2711528,231.0545875,297.6182142,779.6997415,557.540864,190.3724019,1361.761602,280.3264472,408.8693362,873.1132862,229.8660778,398.6762413,129.6376691,951.8155131,598.4499913,378.8246722,744.4364491,1019.946659,1268.644268,2410.424109,789.213713
"Medical, precision and optical instruments, watches and clocks (33)",245.3948211,209.4599491,19.73102512,108.1292957,51.67975629,248.0159,188.9458071,33.42473325,77.49749681,200.5301251,149.2723028,58.83072957,37.89388418,32.88257334,179.9834714,130.6434768,41.24062215,364.124335,60.61425639,184.2730777,181.7911219,42.26363842,59.64148535,15.01176684,276.5898941,73.24473858,61.76723831,146.0013568,307.0026492,294.7788862,560.0798838,254.8232938
"Motor vehicles, trailers and semi-trailers (34)",1560.700403,1725.522363,6.453555725,416.6539279,165.7295058,1232.58632,888.3003507,22.54011671,580.4939545,1273.735441,1095.333818,159.9449416,77.46508733,75.53261386,1295.64245,451.5118577,62.51655964,3489.397112,141.7398157,284.5456235,1074.023327,35.75389761,573.3427181,12.52006135,969.4594211,677.4678604,435.1158938,1377.977989,2166.770595,1060.459638,2014.873312,1756.147775
Other transport equipment (35),333.8144352,403.3297484,4.873661357,73.33224501,32.83062491,236.0589421,216.6005314,8.937252696,109.9621581,257.4920313,186.5370291,33.6941729,18.97688423,30.46865534,223.9261407,117.160962,11.6629023,627.3298482,39.02775817,52.05911094,268.4542239,8.946099259,118.3480117,3.020047562,179.3098171,149.7832718,69.08719062,274.7889309,408.4486601,431.3693525,819.6017697,328.1526765
Furniture; other manufactured goods n.e.c. (36),1334.52562,997.4406851,44.59282906,386.5173963,275.5113909,812.0158425,1090.016276,518.9517935,293.6169855,775.926669,514.0871779,122.2581075,80.8379176,106.0437399,667.0687678,485.5022455,141.0923268,2242.740783,202.8606594,787.3462139,970.5198723,172.5293094,184.3588149,32.03700013,1079.132862,407.0707734,223.2557947,1278.257119,1325.056331,1262.845777,2399.406977,954.1223104
Secondary raw materials,8.301060564,5.69543435,0.227308646,1.743393209,1.359489656,3.615969813,5.73865659,4.283925949,1.178492477,2.823705665,2.144085866,0.342462136,0.170452424,0.495929903,2.669435543,1.964180721,0.709535746,14.86309367,0.977155033,4.277786299,5.478405188,0.834433049,0.785588152,0.097417867,5.593064813,2.131043133,1.37620799,7.228082842,5.703327836,7.623634223,14.48490502,3.970056939
"Bottles for treatment, Recycling of bottles by direct reuse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity by coal,44.27790673,5.678547762,731.7370881,0,936.2514291,973.1247013,658.4389069,0,64.76402697,402.7003991,47.33768501,469.0969335,202.132431,254.555775,107.4470878,158.8886167,0,0,0.090513719,0,297.2470064,1134.1888,170.3508259,179.0164076,16.30810195,933.8351502,189.6439058,91.19925911,0,0,0,0
Electricity by gas,645.0726548,1620.368939,121.4406603,0,170.0292465,664.2192448,163.6507176,22.27106033,705.6964,446.9735024,379.1627566,1127.375029,497.714442,675.5403905,2383.214903,1333.919977,553.0947678,1345.701335,598.1214635,2617.151958,2475.656854,169.4227391,963.7329867,190.7639154,18.74214702,127.4350557,361.1407438,1914.510684,661.1347658,37.65471457,71.54395769,0
Electricity by nuclear,0,2101.672825,901.1368419,0,876.9692834,466.2587056,0,0,599.7815494,2716.338551,3932.630268,0,903.7752126,0,0,0,0,0,0,0,135.5304404,0,0,219.4150645,2445.020453,1349.949288,1481.225609,888.51456,0,1495.883082,2842.177856,0
Electricity by hydro,2649.476648,16.98111573,160.6101787,0,57.64408398,135.5993436,2.305927815,0.298577629,328.1919811,1776.545057,687.175261,240.3823094,15.2424489,1145.2287,132.9790163,510.4830663,86.62389314,639.3754246,682.090805,0,2.466451356,20.86210967,701.746437,293.5313105,3609.868693,1080.848052,455.9421469,113.1055885,25844.35903,2319.417171,4406.892624,16414.99957
Electricity by wind,424.3407564,770.4636981,79.89500616,215.1862355,20.12391605,975.3000919,2539.194782,375.8820156,567.2752241,896.6863838,434.3715417,564.9895141,36.9030771,321.3596247,1615.743975,201.1289244,523.2991166,1754.392191,44.02126524,0.086969443,518.1799112,161.8705244,685.6211469,133.0364862,1328.187629,1.329570251,0.955234334,1265.030667,380.65335,0,0,0
Electricity by petroleum and other oil derivatives,200.791257,220.5253681,23.98523323,3409.775432,87.61940579,163.1542905,160.0494346,1728.159407,163.5888706,383.6957818,127.6185227,369.8962532,19.63243953,8.760045705,235.0594737,168.6532203,62.73313683,531.8962902,0,27.14646203,186.5317071,45.93934162,57.61178056,13.46836722,142.9758072,2.695028734,0,128.3376295,0,0,0,3.658889867
Electricity by biomass and waste,251.3599872,321.6728753,80.70327175,47.55393297,143.1734826,364.7404805,791.4470643,558.3008176,69.87279295,1255.873816,90.53389462,19.93611021,134.3942508,179.300736,122.7069668,203.6202874,195.3116295,1498.216129,213.6711467,13.4232837,259.6923945,70.49146436,221.7511185,10.80293563,520.3507146,60.80030866,184.7227163,608.1736417,0,186.9146057,355.1377509,0
Electricity by solar photovoltaic,78.15608396,286.7096949,84.89590999,166.7371476,63.86127494,369.8163917,191.9743835,16.81673806,213.5018328,10.55213642,146.0387345,276.3759711,91.10160515,16.44409639,2.421406157,282.4760849,29.24142344,825.0794662,0.335929926,284.2641232,263.1120282,21.46006118,80.63216162,33.74936741,19.81312685,61.73962353,57.9912259,228.977402,0,119.5324849,227.1117213,0
Electricity by solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity by tide, wave, ocean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity by Geothermal,0.014870095,0,0,0,0,1.45026036,0,0,0.267985806,0,6.750093971,0,1.026223142,11.86351947,0,64.23653004,0,0,0,0,0,0,12.82150302,0,0,0,13.7551905,0.159432923,0,0,0,7340.952704
Electricity nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission services of electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distribution and trade services of electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke oven gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast Furnace Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxygen Steel Furnace Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Works Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biogas,0.830969857,0,0,0,0,6.065802772,0,0,0,0,0,0,0,0,0,0,0,0,3.782534113,0,0,0,0,0,0,0,0,0,0,6.721250996,12.77037689,0
Distribution services of gaseous fuels through mains,217.5486197,559.7928718,12.48819975,100.8858803,320.0325373,483.1325397,174.067464,42.1664726,316.5691681,0,228.8199747,88.72417922,353.4692955,295.6170815,335.1350256,852.8998019,112.7101209,826.8462125,94.56335284,106.6633322,1790.728284,175.4640468,352.9972488,225.2951458,0,194.5213728,409.877684,786.1772233,0,167.3918886,318.0445883,0
Steam and hot water supply services,193.0638484,6.105245417,82.0290313,3.917045217,256.1297407,138.1998071,904.2986225,268.8265321,7.507567088,88.95257998,6.655310736,4.346648467,95.20580315,56.27986108,3.106356916,8.537260085,421.3333246,6.988386809,272.9726401,1.773583011,9.154249299,198.8063509,3.983736958,47.8746449,80.74221294,158.6183712,345.1322021,6.936143843,7.731579462,30.69418274,58.31894721,1128.718284
"Collected and purified water, distribution services of water (41)",13.54942718,6.105245417,1.235252388,3.917045217,2.456216565,8.193706638,8.474200867,4.197519719,7.507567088,15.28599368,6.655310736,4.346648467,3.072051476,3.034564482,3.106356916,8.537260085,1.779694351,6.988386809,2.85819373,1.773583011,9.154249299,5.307455563,3.983736958,1.509301011,4.201917015,6.21148976,4.922651365,6.936143843,7.731579462,16.34093345,31.04777356,5.232414816
Construction work (45),414.6102557,147.1407727,23.59887441,158.346345,59.67898113,123.3236742,191.9943095,59.24329815,88.97213269,199.0358718,76.62230594,50.99196619,31.43468173,26.91539453,123.817921,76.49264802,15.80875101,650.9157811,22.07057114,153.5768754,69.04481429,70.15411835,58.58458328,9.936905921,231.2633634,56.75504194,68.55406886,203.8696827,1045.947427,255.171389,484.8256391,755.9285824
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1074.041141,922.9640626,21.80939523,398.1006696,111.2060916,349.8862084,551.2802573,39.4895119,653.694718,900.5959489,504.2540921,97.44672594,72.45193698,51.13407486,558.347151,399.6884869,44.34086232,1692.777699,78.21202266,217.6783274,575.3252025,52.76623372,386.1347147,13.48764435,498.3528017,378.0058685,189.877415,779.3103791,1038.246855,775.4223118,1473.302392,827.5056462
Retail trade services of motor fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",5.184844844,3.014122853,0.311287303,1.698930198,1.129412019,2.553337461,1.689548245,0.903627665,1.683211939,1.937529428,1.359379031,0.696882789,0.439202593,0.502456943,1.543347197,1.866227581,0.588411762,4.646052085,0.601700786,2.449986441,2.755683538,0.533544671,0.803921595,0.328092458,3.070140258,1.371274172,1.180971292,1.444448929,3.403067782,3.061575185,5.816992851,2.632064267
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",55.67904076,35.33751652,2.672678772,25.16752978,12.06087596,36.5451325,47.4940668,11.77358481,15.39033996,46.05140692,21.28749486,12.39798083,4.989386164,4.240286897,25.54821526,16.00891622,11.00160212,61.76115549,9.927298281,24.68425657,47.39408663,7.355551252,7.87521068,2.196348729,66.53496561,11.4958841,11.16176659,41.73978345,78.14272579,56.12408229,106.6357564,60.43860703
Hotel and restaurant services (55),3310.86927,3028.305496,204.655396,2965.177738,565.8635117,1528.948365,2287.410617,398.7349845,2717.208536,1656.598114,1590.107891,1860.909288,277.2766535,302.7886995,2294.659725,1723.122439,367.1349823,6749.214339,480.0001257,1717.711804,2374.979783,425.8259112,1711.464892,81.70754877,1921.322251,1044.180914,624.0057802,4026.02267,2277.352297,6365.639845,12094.71571,1801.604392
Railway transportation services,79.01281619,82.26764594,5.988165866,0,24.51555603,61.72339596,0,10.09604446,43.23990276,129.8093423,153.2602907,39.52136711,18.05543121,51.39157993,90.20516123,136.4269834,10.88995464,71.46973163,35.68200786,0.126378323,165.7179221,19.3204826,30.28173626,21.58023323,172.4059232,0,14.60366891,284.6382555,190.2178423,959.4896749,1823.030382,147.1218377
Other land transportation services,59.12881289,62.82714688,35.36036412,31.01499986,64.12711369,36.99292068,60.80587692,38.00608355,91.9290208,191.8685279,60.7324749,107.2874913,32.33392641,103.4960904,249.0663073,88.05498814,65.77702402,80.59446107,85.69496269,92.90678908,75.29052364,48.0376025,70.35437173,50.78247767,186.1052337,40.14275402,124.9690422,157.7913936,362.7005682,345.3158937,656.1001981,280.5266503
Transportation services via pipelines,2.004215678,0,0,0,0,2.303527566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884648264,0,0,0,0,0,0,0,0,12.48909158,4.063327941,7.720323089,9.659546556
Sea and coastal water transportation services,87.32081392,0,4.268349986,20.61463881,11.85193233,80.06357963,122.7630648,18.75809788,49.36544364,33.35223774,54.27021907,27.83124387,27.85932229,3.854938289,0,11.84985996,0,64.42050418,15.74680811,47.79609097,37.57035499,5.832817945,10.69931261,0,47.20784658,0,17.12250728,50.05080795,290.3099644,139.4645648,264.9826732,224.5369569
Inland water transportation services,87.45455928,39.48147943,4.927441518,21.93034124,13.18978042,62.39934457,100.0593572,3.789662119,32.3375739,23.38428555,36.4882848,10.39324438,29.00790789,8.013312472,7.706338261,21.18175925,0.243711566,19.53196211,18.24939922,2.407229374,66.07485921,6.180822988,17.72923455,0,19.21818929,12.1156968,17.63123261,40.85450437,23.23741987,76.12525076,144.6379764,17.97271945
Air transport services (62),0,94.27253785,2.2997588,180.9030213,4.445270306,78.30664003,218.4168836,30.48417785,53.81598578,173.003417,76.24149189,71.96651627,0,16.64323827,72.54255446,53.8746837,15.57695642,307.493315,20.45496894,151.0646907,214.5936732,8.681615933,38.4491952,0,28.79131962,10.59093641,17.89445522,261.3630375,503.6911764,394.5759689,749.694341,389.5742408
Supporting and auxiliary transport services; travel agency services (63),1106.234104,677.6033114,42.39713196,78.46810578,124.5207586,504.0442432,526.8671682,130.1446946,208.3717984,330.4531492,9.831015192,52.76606388,75.77781617,57.24484049,260.6529704,159.4507618,43.6363325,1021.190703,72.23316116,138.6455327,341.173091,90.26733596,74.46488161,30.92212436,1219.068591,166.2164398,130.6613115,1189.752349,744.5887968,864.1343152,1641.855199,575.8937794
Post and telecommunication services (64),290.9749915,664.8105185,97.32305162,617.6423976,174.5247489,387.8954886,404.7899196,202.713707,368.0841446,577.1422244,399.1415499,374.1324258,197.8455421,259.4688804,638.2887039,435.7982031,146.8746466,811.8361396,182.7674895,368.5785209,621.0266754,196.6298907,318.1704757,114.7753164,546.4126668,503.5683794,303.9840264,516.7798598,529.3705586,1064.380312,2022.322593,409.4356683
"Financial intermediation services, except insurance and pension funding services (65)",39.77801931,88.74863248,0.219584911,1.912192446,52.42319027,65.54265385,125.4875861,19.47604985,1.181054574,292.224871,157.2508555,20.45790927,22.64945437,49.73900724,117.7770461,3.296284954,0,216.8332218,8.62922291,23.18593289,250.3036911,8.262125309,0.815699869,5.268526301,37.41272678,112.0955418,11.87221582,38.43310978,46.5779136,345.0749552,655.6424148,36.02516021
"Insurance and pension funding services, except compulsory social security services (66)",1181.387864,1715.267942,21.05049442,662.1150742,139.6552726,1148.662814,1652.866289,83.56047308,690.5121823,947.5775212,1543.528127,296.5376168,130.8190087,259.1201388,1516.387072,888.6385015,52.87421014,2124.422125,85.99675342,348.0574465,2572.865461,79.98787642,289.5427842,13.68894079,972.24686,861.3300452,427.0692174,884.1328973,945.0332891,2538.832192,4823.781164,696.7516028
Services auxiliary to financial intermediation (67),307.9869258,531.5086278,10.62994683,160.9682626,38.93637212,171.3772047,280.5965196,24.22599276,139.6440634,683.4968196,436.9488336,66.95462912,35.04782521,57.21853051,286.3997093,241.376535,7.553458593,476.3098306,17.19701406,239.90984,455.1598684,16.40147324,69.67969317,4.490357962,156.3485174,166.1800742,71.60248247,263.6852932,177.307017,750.8252904,1426.568052,132.2541487
Real estate services (70),6058.645974,8337.568193,907.7659637,5840.197103,563.3393319,8959.540268,9184.012869,2105.81011,7017.263123,7781.781257,6872.618444,4021.239034,2412.843932,3479.838645,8984.280554,8108.392188,1813.660029,17868.25515,1204.499251,109.1948198,9151.77929,1870.703879,4832.415822,1244.368861,9766.134075,3198.51237,1759.805985,2830.629864,10565.91704,11605.0495,22049.59406,8473.531627
Renting services of machinery and equipment without operator and of personal and household goods (71),463.460446,848.4811329,10.71023736,264.7967651,21.74003135,301.5693826,422.4710988,17.6616088,278.1317527,313.8834848,306.7310487,143.3557914,26.60419117,77.61855908,285.1902436,347.2588259,14.08981667,882.1569739,47.99723264,86.83184791,660.4858505,22.44532383,306.5004592,9.46082981,131.9600619,196.8800731,8.266786514,412.8211847,410.5727269,1351.365272,2567.594018,311.6908269
Computer and related services (72),14.77901388,10.08742091,0.688350951,40.48077584,2.317985976,11.96272549,12.94301121,2.235010545,10.71985006,1.562533875,3.752553183,31.32240552,3.147132446,4.682905234,25.92824175,7.79513409,1.212201563,12.48771991,5.07785464,6.420931258,20.2921554,5.079618044,15.88954307,1.04767099,0,7.715942711,2.147905195,28.82010364,2.494491364,26.20500341,49.78950648,3.858672236
Research and development services (73),3.69475347,2.521855228,0.172087738,10.12019396,0.579496494,2.990681373,3.235752802,0.558752636,2.679962514,0.390633468,0.938138296,7.830601381,0.786783112,1.170726308,6.482060438,1.948783523,0.303050391,3.121929977,1.26946366,1.605232814,5.07303885,1.269904511,3.972385769,0.261917748,0,1.928985678,0.536976299,7.205025909,0.623622841,6.551250853,12.44737662,0.964668059
Other business services (74),18.51630451,31.37775781,0.658754733,5.736577337,2.045835344,6.681478741,14.08570406,3.658414289,5.918390781,66.24987244,19.65108353,9.886573947,1.200131738,2.368697153,8.036653514,12.8853978,0,39.15252781,1.215622112,25.77759954,24.2903542,1.197219235,2.447099605,0.16900789,34.98050262,8.386125344,0.803983385,36.42214068,59.23046325,102.2065773,194.1924969,34.98073542
Public administration and defence services; compulsory social security services (75),443.2643039,580.5301048,11.06948297,448.7366728,55.69292667,402.9564096,556.1662922,38.84642568,268.3375878,331.5951068,484.1761999,282.7014928,58.41801656,104.7565011,600.9216186,313.9178512,22.68317695,699.7623891,56.698762,158.1647981,867.8551438,55.00323207,184.8328392,10.65222151,279.10253,297.3585822,136.363022,445.9239523,289.2787146,923.8203178,1755.258604,226.0337845
Education services (80),258.6327429,176.529866,12.04614164,708.4135772,40.56475457,209.3476962,226.5026962,39.11268454,187.597376,27.34434282,65.6696807,548.1420966,55.07481781,81.95084158,453.7442307,136.4148465,21.21352735,218.5350983,88.8624562,112.366297,355.1127195,88.8933158,278.0670038,18.33424233,0,135.0289975,37.58834091,504.3518137,43.65359885,458.5875597,871.3163634,67.52676412
Health and social work services (85),1747.836483,1936.590348,179.6030604,2172.600371,339.217087,1484.301874,1285.973555,287.9598755,1278.628423,1366.019754,1381.821903,1488.308761,333.0765878,453.9347965,1279.009788,1771.975425,218.0486638,2278.29211,532.3529612,1347.120441,976.4156689,435.576869,992.3891082,201.809667,880.8202479,626.7190301,326.86043,1089.899039,2032.77985,3313.10415,6294.897886,1488.224063
Food waste for treatment: incineration,108.3954175,48.84196334,9.882019105,31.33636174,19.64973252,65.5496531,67.79360694,33.58015775,60.0605367,122.2879494,53.24248588,34.77318774,24.57641181,24.27651586,24.85085532,68.29808068,14.23755481,55.90709447,22.86554984,14.18866409,73.23399439,42.4596445,31.86989567,12.07440809,33.61533613,49.69191808,39.38121091,55.48915074,61.85263569,130.7274676,248.3821884,41.85931853
Paper waste for treatment: incineration,108.3954175,48.84196334,9.882019105,31.33636174,19.64973252,65.5496531,67.79360694,33.58015775,60.0605367,122.2879494,53.24248588,34.77318774,24.57641181,24.27651586,24.85085532,68.29808068,14.23755481,55.90709447,22.86554984,14.18866409,73.23399439,42.4596445,31.86989567,12.07440809,33.61533613,49.69191808,39.38121091,55.48915074,61.85263569,130.7274676,248.3821884,41.85931853
Plastic waste for treatment: incineration,121.9448446,54.94720876,11.1172715,35.25340696,22.10594909,73.74335975,76.2678078,37.77767747,67.5681038,137.5739431,59.89779662,39.1198362,27.64846328,27.31108034,27.95721224,76.83534077,16.01724916,62.89548127,25.72374357,15.96224711,82.38824369,47.76710007,35.85363263,13.5837091,37.81725314,55.90340784,44.30386228,62.42529459,69.58421515,147.0684011,279.429962,47.09173334
Intert/metal waste for treatment: incineration,189.6919806,85.47343584,17.29353343,54.83863304,34.38703191,114.711893,118.6388121,58.76527607,105.1059393,214.0039116,93.1743503,60.85307853,43.00872066,42.48390275,43.48899682,119.5216412,24.91572091,97.83741531,40.01471222,24.83016216,128.1594901,74.30437791,55.77231742,21.13021416,58.82683822,86.96085667,68.91711913,97.10601381,108.2421125,228.7730683,434.6688298,73.25380742
Textiles waste for treatment: incineration,121.9448446,54.94720876,11.1172715,35.25340696,22.10594909,73.74335975,76.2678078,37.77767747,67.5681038,137.5739431,59.89779662,39.1198362,27.64846328,27.31108034,27.95721224,76.83534077,16.01724916,62.89548127,25.72374357,15.96224711,82.38824369,47.76710007,35.85363263,13.5837091,37.81725314,55.90340784,44.30386228,62.42529459,69.58421515,147.0684011,279.429962,47.09173334
Wood waste for treatment: incineration,121.9448446,54.94720876,11.1172715,35.25340696,22.10594909,73.74335975,76.2678078,37.77767747,67.5681038,137.5739431,59.89779662,39.1198362,27.64846328,27.31108034,27.95721224,76.83534077,16.01724916,62.89548127,25.72374357,15.96224711,82.38824369,47.76710007,35.85363263,13.5837091,37.81725314,55.90340784,44.30386228,62.42529459,69.58421515,147.0684011,279.429962,47.09173334
Oil/hazardous waste for treatment: incineration,135.4942718,61.05245417,12.35252388,39.17045217,24.56216565,81.93706638,84.74200867,41.97519719,75.07567088,152.8599368,66.55310736,43.46648467,30.72051476,30.34564482,31.06356916,85.37260085,17.79694351,69.88386809,28.5819373,17.73583011,91.54249299,53.07455563,39.83736958,15.09301011,42.01917015,62.1148976,49.22651365,69.36143843,77.31579462,163.4093345,310.4777356,52.32414816
Food waste for treatment: biogasification and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper waste for treatment: biogasification and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sewage sludge for treatment: biogasification and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food waste for treatment: composting and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper and wood waste for treatment: composting and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food waste for treatment: waste water treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other waste for treatment: waste water treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food waste for treatment: landfill,108.3954175,48.84196334,9.882019105,31.33636174,19.64973252,65.5496531,67.79360694,33.58015775,60.0605367,122.2879494,53.24248588,34.77318774,24.57641181,24.27651586,24.85085532,68.29808068,14.23755481,55.90709447,22.86554984,14.18866409,73.23399439,42.4596445,31.86989567,12.07440809,33.61533613,49.69191808,39.38121091,55.48915074,61.85263569,130.7274676,248.3821884,41.85931853
Paper for treatment: landfill,67.74713592,30.52622709,6.176261943,19.58522609,12.28108282,40.9685332,42.37100433,20.98759859,37.53783544,76.42996841,33.27655367,21.73324234,15.36025738,15.17282241,15.53178458,42.68630042,8.898471752,34.94193404,14.29096865,8.86791506,45.77124649,26.53727781,19.91868479,7.546505057,21.00958508,31.0574488,24.61325682,34.68071922,38.6578973,81.70466725,155.2388678,26.16207408
