0,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Norway,Switzerland,Liechtenstein,Iceland
Aluminium and aluminium products,3.002246664,2.575482925,0.60658833,3.277954273,1.235220562,1.069328448,2.138241675,1.359714066,1.826108665,2.366897429,1.719267066,1.654227972,1.484640704,1.153264268,2.558136083,2.744029111,1.530446372,3.037160747,0.833710296,3.748080796,1.849213719,1.137910756,1.299645326,0.723779394,2.271012218,1.874961585,1.708520771,3.264384217,3.377327088,2.629559869,4.996163751,2.639753456
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lead, zinc and tin and products thereof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copper products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-ferrous metal products,3.002246664,2.575482925,0.60658833,3.277954273,1.235220562,1.069328448,2.138241675,1.359714066,1.826108665,2.366897429,1.719267066,1.654227972,1.484640704,1.153264268,2.558136083,2.744029111,1.530446372,3.037160747,0.833710296,3.748080796,1.849213719,1.137910756,1.299645326,0.723779394,2.271012218,1.874961585,1.708520771,3.264384217,3.377327088,2.629559869,4.996163751,2.639753456
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundry work services,3.002246664,2.575482925,0.60658833,3.277954273,1.235220562,1.069328448,2.138241675,1.359714066,1.826108665,2.366897429,1.719267066,1.654227972,1.484640704,1.153264268,2.558136083,2.744029111,1.530446372,3.037160747,0.833710296,3.748080796,1.849213719,1.137910756,1.299645326,0.723779394,2.271012218,1.874961585,1.708520771,3.264384217,3.377327088,2.629559869,4.996163751,2.639753456
"Fabricated metal products, except machinery and equipment (28)",94.24368413,71.68452882,7.92298533,43.87341322,26.18006238,55.6169492,46.53727495,33.59017505,41.59471254,47.61611278,39.93892089,14.35743452,11.33012146,12.7219764,46.78483933,34.28925414,9.690477303,114.8614992,13.00409671,57.61203868,40.5492812,12.66930773,19.97021217,4.208644955,56.72262802,34.1004087,27.93193144,36.70012834,82.31640908,73.47780444,139.6078284,63.16954243
Machinery and equipment n.e.c. (29),570.7342723,405.7996897,36.86029777,300.0412453,135.0225139,268.259034,321.1283667,150.3902096,304.6297456,386.2394876,300.4252582,109.3666586,68.70361647,77.63869708,282.7408518,250.9940246,67.67948121,699.1100532,80.43716247,326.8686917,297.0446774,76.47273472,151.492157,24.30135531,363.665858,200.3427654,133.579808,340.5821511,503.0423966,472.8228685,898.3634501,398.8163725
Office machinery and computers (30),29.71646384,22.51539728,1.133332244,11.84853584,7.167870761,23.25415369,25.32179913,11.20532813,7.026584583,26.37477242,18.35719535,3.530150518,2.637423285,1.721529561,15.61195375,5.925292717,6.029673502,36.24952965,4.969787923,20.38706224,29.20422103,3.62196647,3.511515491,0.792029227,59.41290893,7.338439932,9.742355563,35.04120208,48.0002899,38.18035304,72.54267078,43.48621453
Electrical machinery and apparatus n.e.c. (31),105.7716759,133.1222885,3.272889474,12.83763302,10.58817913,46.93895121,75.72405173,10.64217585,22.15470146,60.13155736,25.10464043,7.627021954,5.189704475,14.27075046,37.2813226,31.4288369,2.797138171,80.30305987,10.39712612,18.700736,88.5486883,3.761652132,21.85612867,0.876801032,31.65959824,44.95812286,7.299966921,62.76376987,81.75040713,221.4597007,420.7734313,54.9956561
"Radio, television and communication equipment and apparatus (32)",508.5055781,775.6690441,81.10308983,638.5172195,254.6850773,701.1032242,666.808752,294.6139333,395.3941731,702.9842016,532.2907811,357.3101595,212.8241226,266.058072,806.2572121,535.776706,176.2756782,1281.700054,262.4864316,494.6159022,842.9776679,230.037153,340.6174115,87.7592659,996.8714085,578.1336935,399.9146923,782.6064891,1040.387458,1268.644268,2410.424109,789.213713
"Medical, precision and optical instruments, watches and clocks (33)",300.2920155,172.9414903,19.56057575,103.3097589,66.88237184,268.2963059,178.728306,92.15396683,68.02369088,226.964537,160.1245543,65.00099668,33.94269374,28.04485313,195.4559206,121.3164533,47.49431022,356.8826562,60.70915545,181.2289461,209.2638584,42.31907036,60.84752555,12.25717988,304.1884274,90.28449462,73.08266862,242.1743768,386.4144062,294.7788862,560.0798838,254.8232938
"Motor vehicles, trailers and semi-trailers (34)",1522.212251,1341.461323,9.419358044,310.0980607,192.0433258,1311.320384,1138.707221,290.1378822,501.9832062,1277.458174,1308.672565,123.8108497,96.88208555,112.4169343,1698.554263,450.4447474,74.73498861,3579.727474,140.3192381,728.3317097,1035.936914,57.07119641,351.6707731,15.87875199,1294.949155,773.9787307,348.5461891,1413.426247,2925.117108,1060.459638,2014.873312,1756.147775
Other transport equipment (35),354.3932276,362.4496127,4.882587453,58.41211263,40.16656495,255.4076238,268.4536805,51.05597208,99.96623106,277.1982466,223.1448069,27.54493842,20.92592022,36.13544711,293.1615642,114.1933407,13.8489667,647.7156154,41.09328878,117.100187,265.3157026,12.72482949,83.59552019,3.099803346,233.7268825,170.6855069,57.04818546,294.963085,539.2708514,431.3693525,819.6017697,328.1526765
Furniture; other manufactured goods n.e.c. (36),1475.862624,748.6656854,47.38948195,339.3350921,296.7125068,898.6223072,1246.602198,369.5213203,262.7679609,829.5220696,562.620527,99.26111691,70.47468199,109.4290047,747.7009771,362.8751716,134.6766922,1834.147426,161.284786,761.0810942,943.6620363,172.5149208,144.7978889,22.46816201,934.0690526,456.7983314,222.2705382,1394.255109,978.4497242,1262.845777,2399.406977,954.1223104
Secondary raw materials,8.573090435,3.240522592,0.281241204,1.436236968,1.278949734,4.102253677,6.671649521,1.715997802,1.078604864,2.505912528,2.249779228,0.220485325,0.203572495,0.726661735,2.377485016,1.169551009,0.590164271,11.19577749,0.659953151,4.119735984,4.862403723,0.825586064,0.483997798,0.078102453,4.090348799,2.355293372,1.356233476,6.584314093,3.621374683,7.623634223,14.48490502,3.970056939
"Bottles for treatment, Recycling of bottles by direct reuse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity by coal,52.84230256,6.466909366,709.1933715,0,953.2370026,1100.595829,692.0851771,0,69.39477721,531.7272681,56.15006411,565.1758405,214.8983717,250.1214167,124.1828197,159.2899501,0,0,0.087992106,0,322.6157267,1132.651199,185.3622258,160.6394583,18.74417246,990.6344538,215.6439027,108.6170449,0,0,0,0
Electricity by gas,769.8449842,1845.327275,117.6992567,0,173.1139354,751.2263634,172.0132798,23.68221585,756.1550254,590.1856565,449.7476606,1358.280312,529.1482549,663.772486,2754.419434,1337.289298,363.3158064,1594.137172,581.4584553,2958.796984,2686.943241,169.1930555,1048.657619,171.1810244,21.54181015,135.1861266,410.652792,2280.155507,836.7965386,37.65471457,71.54395769,0
Electricity by nuclear,0,2393.451328,873.3741742,0,892.8793546,527.3346634,0,0,642.6670629,3586.664627,4664.728358,0,960.8543297,0,0,0,0,0,0,0,147.0973654,0,0,196.8909866,2810.252546,1432.058191,1684.300215,1058.208441,0,1495.883082,2842.177856,0
Electricity by hydro,3161.948181,19.33863039,155.6620213,0,58.68986914,153.361714,2.423760872,0.317496328,351.6583276,2345.757422,815.0997445,289.6166316,16.20510589,1125.27883,153.6915477,511.7724848,56.90133306,757.4133311,663.0885031,0,2.676952094,20.83382726,763.584684,263.3988212,4149.103405,1146.589224,518.4513762,134.7071775,32711.13742,2319.417171,4406.892624,16414.99957
Electricity by wind,506.4183088,877.4283697,77.43356148,229.2567046,20.48900629,1103.056178,2668.947796,399.6989318,607.8364739,1183.9884,515.234108,680.7088273,39.23373967,315.7615443,1867.408852,201.6369518,343.7436974,2078.278243,42.79488106,0.098322501,562.4042799,161.6510792,746.0384252,119.3796109,1526.589546,1.410439626,1.086196042,1506.633871,481.7919464,0,0,0
Electricity by petroleum and other oil derivatives,239.6290416,251.1412474,23.24628436,3632.731791,89.20900645,184.5261264,168.2279709,1837.660331,175.2857838,506.633493,151.3759752,445.6571997,20.87235218,8.607445821,271.6718419,169.0792179,41.20801988,630.0920016,0,30.69018203,202.4513651,45.87706242,62.68855946,12.08577048,164.3332374,2.858950339,0,152.8483256,0,0,0,3.658889867
Electricity by biomass and waste,299.9789619,366.33122,78.21692562,50.66336113,145.7709513,412.518407,831.8900599,593.6762899,74.86882961,1658.260968,107.3876762,24.01935941,142.8820972,176.1773194,141.8195454,204.1346077,128.2959202,1774.808392,207.7185028,15.17556946,281.8559944,70.39590027,241.2919379,9.693959071,598.0796271,64.49840807,210.0480228,724.3263199,0,186.9146057,355.1377509,0
Electricity by solar photovoltaic,93.27332164,326.5140471,82.28039499,177.6396566,65.01985301,418.2592198,201.7842868,17.88229275,228.7676171,13.93308445,173.225292,332.9823979,96.85524734,16.15764044,2.798559278,283.1895853,19.20804888,977.4010117,0.326571286,321.3721801,285.5674786,21.43096813,87.737508,30.28482234,22.77277072,65.49485554,65.94176713,272.7088903,0,119.5324849,227.1117213,0
Electricity by solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Electricity by tide, wave, ocean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity by Geothermal,0.017746323,0,0,0,0,1.640232235,0,0,0.287147297,0,8.006690845,0,1.091035621,11.65685711,0,64.39878376,0,0,0,0,0,0,13.95134027,0,0,0,15.64101387,0.189882385,0,0,0,7340.952704
Electricity nec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transmission services of electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distribution and trade services of electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke oven gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast Furnace Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxygen Steel Furnace Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas Works Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biogas,0.991699109,0,0,0,0,6.860371769,0,0,0,0,0,0,0,0,0,0,0,0,0,4.823489817,0,0,0,0,0,0,0,0,0,6.721250996,12.77037689,0
Distribution services of gaseous fuels through mains,259.6276752,637.5097855,12.10345714,107.4825459,325.838602,546.4188271,182.9623224,44.83825605,339.2044614,0,271.41708,106.8963768,375.7931155,290.4674357,387.334951,855.0541236,74.03680312,979.4939243,91.92892151,120.5872455,1943.55904,175.2261731,384.1035429,202.1674476,0,206.3528813,466.0715199,936.3261018,0,167.3918886,318.0445883,0
Steam and hot water supply services,223.9544346,6.769246279,79.18459516,3.38059171,260.0912493,155.5531929,949.3816127,283.9204531,4.757008628,109.2589335,4.126546447,2.665215596,100.4220808,54.51480809,2.675162667,6.67199248,276.5577482,7.288717734,264.3052414,2.450687433,8.980185225,197.2017517,2.712719001,42.13812465,94.03879426,167.2251553,388.9955075,6.935035004,7.451509294,30.69418274,58.31894721,1128.718284
"Collected and purified water, distribution services of water (41)",9.717672661,6.769246279,0.87995073,3.38059171,1.815552759,8.517389899,7.780506152,2.523820089,4.757008628,11.98926909,4.126546447,2.665215596,2.469500441,2.197043879,2.675162667,6.67199248,0.962182406,7.288717734,1.715887351,2.450687433,8.980185225,3.965179641,2.712719001,0.532420293,6.065067368,5.548324211,2.143554892,6.935035004,7.451509294,16.34093345,31.04777356,5.232414816
Construction work (45),628.0226177,172.3204988,27.80769444,178.9006784,72.05073962,138.5094379,215.8502837,87.38993891,99.52673037,216.4992206,80.39942574,43.77313198,31.28554611,19.71890298,169.424369,68.32012911,28.92803092,536.4064023,26.49968297,195.3280335,94.82473999,80.3698408,94.74605013,7.966677537,259.6274012,66.15779435,76.5669387,241.21898,668.7989179,255.171389,484.8256391,755.9285824
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1211.358624,851.5022494,20.56125223,373.7612091,143.8889785,371.6909228,676.295862,137.4836458,652.9248238,1038.759945,605.66988,81.30912872,72.75288932,62.30922821,729.8847145,384.876974,52.10201664,1755.251545,82.36140891,362.5847029,569.8879432,66.34362887,303.9786676,11.2277289,630.4368201,430.4885262,168.8232453,860.494301,1342.905232,775.4223118,1473.302392,827.5056462
Retail trade services of motor fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",3.926820172,2.986855367,0.330124389,1.828058885,1.090835932,2.317372883,1.939053122,1.399590627,1.733113023,1.9840047,1.664121704,0.598226438,0.472088394,0.53008235,1.949368306,1.428718922,0.403769887,4.785895802,0.541837363,2.400501612,1.689553383,0.527887822,0.832092174,0.175360207,2.363442835,1.420850362,1.163830476,1.529172014,3.429850378,3.061575185,5.816992851,2.632064267
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",47.16079679,37.64276485,2.260127472,21.3620483,12.40307514,34.69873775,55.45671913,18.24261298,12.87312436,43.51705813,27.29321568,8.604819672,3.828668293,3.033904738,24.61406532,9.71965428,9.805022203,59.29056531,8.909166397,30.4496879,42.23426318,7.277564829,5.760818105,1.27717554,76.22576849,10.44381113,11.9739984,48.82999993,68.22491441,56.12408229,106.6357564,60.43860703
Hotel and restaurant services (55),3075.924869,2277.123742,116.7626725,2794.378834,592.9358859,1402.289439,1840.42251,398.242791,2461.17854,1366.588581,1501.643468,1593.579759,216.6121041,205.4564406,2195.953783,1386.945644,225.3818411,4951.25901,344.4301905,2037.930944,2214.681879,342.7084661,1426.062838,47.93865638,1770.271198,972.3086088,580.7961376,4001.716032,1693.045927,6365.639845,12094.71571,1801.604392
Railway transportation services,46.62977448,61.76015574,6.174127128,0,23.55739792,50.41735129,0,12.10031934,27.70245825,99.69229684,93.80892685,26.09723345,14.70253975,53.39565062,56.96808941,108.3120403,6.974537745,36.81046643,23.2064389,0.219076298,121.9251509,23.36355915,26.11904352,30.75811157,138.250858,0,17.47564641,276.222377,117.0830173,959.4896749,1823.030382,147.1218377
Other land transportation services,51.2695147,60.50357174,36.36882897,29.30652812,62.20213903,33.84655832,46.40210034,45.90570529,60.79197837,154.4482484,40.20219906,71.25500009,26.42304938,107.4370765,162.4408044,71.33079129,42.25422301,51.94970793,56.90127715,159.7544825,63.54991046,58.07737867,61.0543136,72.37980692,151.4910362,42.80537398,149.475331,156.6541337,234.6342896,345.3158937,656.1001981,280.5266503
Transportation services via pipelines,1.18279704,0,0,0,0,1.881584066,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533534089,0,0,0,0,0,0,0,0,7.687294244,4.063327941,7.720323089,9.659546556
Sea and coastal water transportation services,51.53277731,0,4.400902722,19.40878852,11.38871522,65.39811287,67.93014922,22.48197055,31.62690137,25.61419021,33.21820015,18.377868,22.68584938,4.005265811,0,9.407834707,0,33.17976368,10.24122133,82.85432508,27.64197826,7.053415271,9.228526707,0,37.85557464,0,20.48984298,48.57095939,178.6917891,139.4645648,264.9826732,224.5369569
Inland water transportation services,67.98608335,42.97745877,4.990818186,20.75327528,13.25562412,54.59921747,68.12276019,4.896612357,22.61359534,25.05400912,25.36259875,7.272603579,23.71467211,8.230843526,10.01253857,18.2388319,0.283014085,20.49948395,13.03683563,2.873871848,56.76958604,7.461492736,15.663315,0,17.66572053,13.76504401,21.028321,43.174709,25.68769896,76.12525076,144.6379764,17.97271945
Air transport services (62),0,70.77249572,2.371177337,170.3211254,4.27153279,63.96299676,120.8595722,36.53592135,34.47822504,132.864921,46.66657294,47.52181192,0,17.29225949,45.81346203,42.7721611,9.976356569,158.3743507,13.30325885,261.8700136,157.8849508,10.4983634,33.16375898,0,23.08751675,10.97383452,21.41360325,253.6353356,310.0323397,394.5759689,749.694341,389.5742408
Supporting and auxiliary transport services; travel agency services (63),745.5862714,446.4643336,26.26050741,73.87812538,112.0311877,447.173063,461.399921,96.73553563,186.4837184,259.6758245,6.017455541,22.05561356,44.5385194,32.17985812,205.4165352,124.7854151,22.07844884,747.1399364,49.41441991,235.7249277,278.2299137,68.02243754,42.39261546,18.64167914,943.9572924,133.663965,104.8376914,810.8279615,592.0892456,864.1343152,1641.855199,575.8937794
Post and telecommunication services (64),272.2436653,612.7711374,69.18735116,555.4711968,183.513466,411.8966826,413.7121172,206.9826746,339.4800525,584.3966503,407.3853134,323.3819715,184.1527743,229.6035566,660.31728,431.7062271,132.0667412,744.6753092,164.5838875,436.3736884,604.1325367,194.5451439,272.3223177,78.95032032,539.1104114,481.7151977,316.9066437,516.895899,548.3180022,1064.380312,2022.322593,409.4356683
"Financial intermediation services, except insurance and pension funding services (65)",41.52858483,78.05561047,0.226404076,1.800339028,54.15084928,66.92128144,123.444881,10.93529272,1.297139762,370.9379026,164.0499141,0.738250262,20.37738151,33.01354488,124.3990989,2.944107956,9.976441131,134.6799951,7.770698483,26.45782455,245.1204763,8.174527032,0.527676985,4.223915418,37.11063666,116.1481741,11.56784812,40.68737547,0.486620357,345.0749552,655.6424148,36.02516021
"Insurance and pension funding services, except compulsory social security services (66)",1227.254851,1725.891175,18.08786362,602.1497736,169.2736465,1247.684944,1852.21669,132.1115062,617.881664,1091.686273,1683.495111,193.4151367,128.7432371,221.2617615,1859.658365,793.6958482,91.35065962,2140.405796,77.44090605,571.1926745,2567.099169,102.3250076,235.5700163,7.557406813,798.3747245,963.2581157,428.6779439,961.6037881,1049.831126,2538.832192,4823.781164,696.7516028
Services auxiliary to financial intermediation (67),334.6195537,438.8410881,10.44343629,148.5188796,40.41314826,185.6764041,308.3512143,31.28941771,133.2980895,749.7581796,434.542571,53.25856436,36.15529887,52.47881927,354.0705935,215.587726,17.42086606,435.6404662,15.48607706,305.1248274,437.9584169,19.53974897,51.97078909,3.111841028,169.3663811,182.3006279,67.09445401,282.8105207,166.8685533,750.8252904,1426.568052,132.2541487
Real estate services (70),6436.141817,8086.366495,464.926691,5631.214506,195.2889978,9000.32138,7379.281426,158.9369759,6286.62448,7368.07069,6913.977535,2857.959242,1925.480933,2534.278457,8311.890681,7425.656579,1318.930357,17230.13439,995.1393617,439.6494027,8903.308681,1716.914838,4055.091525,852.6200284,8338.594547,3221.173422,1731.847645,2076.461075,7474.526298,11605.0495,22049.59406,8473.531627
Renting services of machinery and equipment without operator and of personal and household goods (71),567.9038849,861.4799599,9.586126315,260.1930113,30.33726958,314.3521122,489.667633,30.8739553,264.4092547,385.0755012,307.5878423,123.4960125,25.08520019,78.53563305,307.021493,318.2194973,15.25701842,795.1038033,52.62965968,98.16694404,666.8599443,23.24348393,241.5590582,7.58499486,151.8213913,223.6819652,8.750267734,480.2758029,464.2330567,1351.365272,2567.594018,311.6908269
Computer and related services (72),10.17555299,5.452453261,0.37852136,40.49491244,1.998940243,12.21435008,10.91341971,3.296869706,6.540832262,1.600014177,3.937536429,17.92543536,2.466608681,2.57311166,22.98203416,5.801914534,1.848480644,5.78861716,5.715821363,25.40693594,19.90630887,3.350507968,10.0986272,0.419972626,0,6.218255625,1.587547604,49.78033114,4.525422015,26.20500341,49.78950648,3.858672236
Research and development services (73),2.543888249,1.363113315,0.09463034,10.12372811,0.499735061,3.053587521,2.728354927,0.824217426,1.635208065,0.400003544,0.984384107,4.481358841,0.61665217,0.643277915,5.745508542,1.450478634,0.462120161,1.44715429,1.428955341,6.351733986,4.97657722,0.837626992,2.524656799,0.104993156,0,1.554563906,0.396886901,12.44508279,1.131355504,6.551250853,12.44737662,0.964668059
Other business services (74),23.99092845,22.58193362,0.679212227,5.401017083,2.758256299,10.23302597,17.60730148,1.996549373,6.06532494,77.32170529,22.79989879,3.579928324,1.343742694,1.491350843,9.752330003,11.50871443,0.282830555,22.13368531,0.308614419,27.72738077,26.30566666,0.347968938,1.583030954,0.135498049,28.11157569,10.66713509,1.475193853,23.92441279,22.62954075,102.2065773,194.1924969,34.98073542
Public administration and defence services; compulsory social security services (75),429.5678527,545.3823813,8.309962076,431.3085862,61.86934826,432.8211004,600.3893621,59.46143515,221.8651563,376.6622587,523.0284573,169.8265824,53.73579223,81.00399495,682.3585494,273.1262926,37.97642741,659.1083309,58.20255887,343.8474956,862.2304097,50.57407003,132.2313171,4.938942914,233.1790458,317.230237,132.8543361,599.8334999,329.9040505,923.8203178,1755.258604,226.0337845
Education services (80),178.0721774,95.41793207,6.624123789,708.6609677,34.98145426,213.7511264,190.9848449,57.69521986,114.4645645,28.00024808,68.9068875,313.6951188,43.16565192,45.02945404,402.1855979,101.5335044,32.34841127,101.3008003,100.0268739,444.621379,348.3604054,58.63388945,176.7259759,7.349520955,0,108.8194734,27.78208307,871.1557951,79.19488527,458.5875597,871.3163634,67.52676412
Health and social work services (85),1574.983576,1497.561959,115.4841547,1919.597704,342.1351383,1319.691975,1186.31707,394.8452238,1103.774357,1305.669895,1260.191801,1334.871789,270.5776452,327.5209424,1183.897815,1324.47489,345.7167364,1988.997429,442.5592335,1544.428543,1033.335162,383.8789306,777.3958497,123.893545,1134.772916,588.5583925,311.5431964,1231.314391,1608.59553,3313.10415,6294.897886,1488.224063
Food waste for treatment: incineration,77.74138129,54.15397023,7.039605841,27.04473368,14.52442207,68.13911918,62.24404922,20.19056071,38.05606903,95.91415272,33.01237157,21.32172478,19.75600353,17.57635104,21.40130134,53.37593984,7.697459249,58.30974188,13.72709881,19.60549946,71.8414818,31.72143713,21.70175201,4.259362346,48.52053894,44.38659369,17.14843914,55.48028003,59.61207436,130.7274676,248.3821884,41.85931853
Paper waste for treatment: incineration,77.74138129,54.15397023,7.039605841,27.04473368,14.52442207,68.13911918,62.24404922,20.19056071,38.05606903,95.91415272,33.01237157,21.32172478,19.75600353,17.57635104,21.40130134,53.37593984,7.697459249,58.30974188,13.72709881,19.60549946,71.8414818,31.72143713,21.70175201,4.259362346,48.52053894,44.38659369,17.14843914,55.48028003,59.61207436,130.7274676,248.3821884,41.85931853
Plastic waste for treatment: incineration,87.45905395,60.92321651,7.91955657,30.42532539,16.33997483,76.65650909,70.02455537,22.7143808,42.81307765,107.9034218,37.13891802,23.98694037,22.22550397,19.77339492,24.07646401,60.04793232,8.659641658,65.59845961,15.44298617,22.0561869,80.82166702,35.68661677,24.41447101,4.791782639,54.58560631,49.9349179,19.29199403,62.41531504,67.06358365,147.0684011,279.429962,47.09173334
Intert/metal waste for treatment: incineration,136.0474172,94.7694479,12.31931022,47.32828393,25.41773862,119.2434586,108.9270861,35.33348124,66.5981208,167.8497673,57.77165026,37.31301836,34.57300617,30.75861431,37.45227735,93.40789473,13.47055369,102.0420483,24.02242292,34.30962407,125.7225931,55.51251499,37.97806601,7.453884106,84.91094315,77.67653896,30.00976849,97.09049006,104.3211301,228.7730683,434.6688298,73.25380742
Textiles waste for treatment: incineration,87.45905395,60.92321651,7.91955657,30.42532539,16.33997483,76.65650909,70.02455537,22.7143808,42.81307765,107.9034218,37.13891802,23.98694037,22.22550397,19.77339492,24.07646401,60.04793232,8.659641658,65.59845961,15.44298617,22.0561869,80.82166702,35.68661677,24.41447101,4.791782639,54.58560631,49.9349179,19.29199403,62.41531504,67.06358365,147.0684011,279.429962,47.09173334
Wood waste for treatment: incineration,87.45905395,60.92321651,7.91955657,30.42532539,16.33997483,76.65650909,70.02455537,22.7143808,42.81307765,107.9034218,37.13891802,23.98694037,22.22550397,19.77339492,24.07646401,60.04793232,8.659641658,65.59845961,15.44298617,22.0561869,80.82166702,35.68661677,24.41447101,4.791782639,54.58560631,49.9349179,19.29199403,62.41531504,67.06358365,147.0684011,279.429962,47.09173334
Oil/hazardous waste for treatment: incineration,97.17672661,67.69246279,8.799507299,33.8059171,18.15552759,85.17389899,77.80506152,25.23820089,47.57008628,119.8926909,41.26546447,26.65215596,24.69500441,21.97043879,26.75162667,66.7199248,9.621824061,72.88717734,17.15887351,24.50687433,89.80185225,39.65179641,27.12719001,5.324202935,60.65067368,55.48324211,21.43554892,69.35035004,74.51509294,163.4093345,310.4777356,52.32414816
Food waste for treatment: biogasification and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper waste for treatment: biogasification and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sewage sludge for treatment: biogasification and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food waste for treatment: composting and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paper and wood waste for treatment: composting and land application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food waste for treatment: waste water treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other waste for treatment: waste water treatment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food waste for treatment: landfill,77.74138129,54.15397023,7.039605841,27.04473368,14.52442207,68.13911918,62.24404922,20.19056071,38.05606903,95.91415272,33.01237157,21.32172478,19.75600353,17.57635104,21.40130134,53.37593984,7.697459249,58.30974188,13.72709881,19.60549946,71.8414818,31.72143713,21.70175201,4.259362346,48.52053894,44.38659369,17.14843914,55.48028003,59.61207436,130.7274676,248.3821884,41.85931853
Paper for treatment: landfill,48.5883633,33.84623139,4.399753649,16.90295855,9.077763794,42.5869495,38.90253076,12.61910044,23.78504315,59.94634545,20.63273223,13.32607799,12.34750221,10.9852194,13.37581334,33.3599624,4.810912032,36.44358867,8.579436756,12.25343716,44.90092613,19.82589821,13.56359501,2.662101466,30.32533684,27.74162105,10.71777446,34.67517502,37.25754647,81.70466725,155.2388678,26.16207408
